Live chat ID,Channel ID,Live chat create timestamp,Price,Parent live chat ID,Video ID,Live chat text
UgykSSIk7XmokwO0f_t4AaABDqgB-uidjwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-09T10:31:09.261519+00:00,0,,HGWM0Qyump8,"{""text"":""mazel tov comrades!""}"
UgxGrm9RoauhLPacuCh4AaABDqgBrZb7ngI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-09T10:19:07.230502+00:00,0,,ijUC9vMDx-U,"{""text"":""w""}"
UgyQYE9DQYcjQY6R7-F4AaABDqgBzp3OlAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T22:00:48.946176+00:00,0,,7cKWX3K8458,"{""text"":""lol""}"
UgyfuSFnr5eYXnyyBmZ4AaABDqgBks3dlQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:12:57.508654+00:00,0,,7cKWX3K8458,"{""text"":""bro got $1 tts""}"
UgxENQ81NQRg-t0U5wp4AaABDqgB7-27ngI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:10:49.040844+00:00,0,,7cKWX3K8458,"{""text"":""dextop never dies""}"
UgxJz2Fyz393pxAGzYF4AaABDqgBmLP7mAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:09:05.841812+00:00,0,,7cKWX3K8458,"{""text"":""scammer.exe is not responding""}"
Ugw5EMh-iM83scKF8jl4AaABDqgBsrD5nAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:08:48.246599+00:00,0,,7cKWX3K8458,"{""text"":""tax manager""}"
Ugz5W0zntB8tvFqtBPF4AaABDqgB1dO3mQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:06:08.800943+00:00,0,,7cKWX3K8458,"{""text"":""he used nordvpn""}"
UgxpicjRBiXNWjVcqVB4AaABDqgB4ZzNhQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:02:36.561663+00:00,0,,7cKWX3K8458,"{""text"":""dewice lol""}"
Ugwoy01zsWz4B6VG9oZ4AaABDqgB7aPlhgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:02:14.007328+00:00,0,,7cKWX3K8458,"{""text"":""dextop""}"
UgwS0h4rDKw2zh2Grxt4AaABDqgB25aUgwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T21:00:14.945146+00:00,0,,7cKWX3K8458,"{""text"":""scammer.exe is not responding""}"
