Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
UgyODUDgYkER2N7uN5V4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-03-01T03:46:49.19845+00:00,0,,,1EX9CqjPc9Q,"{""text"":""Those files are nukes for politicians""}",
Ugya-Z3blTwk2ug7yCJ4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T21:13:48.659617+00:00,0,,,_hFXcmDOr98,"{""text"":""She acussed people of SA like wtf my ass looks better than her""}",
UgxjufZ9TBgcvkUoBqN4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T20:51:18.488395+00:00,0,,,TW6t9ihU68w,"{""text"":""Trying to flee police in a car chase at 5mph at that point you'd rather flee on foot""}",
UgzBOLqtQ4iH9CEIRQ14AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T18:25:14.351241+00:00,0,,,gX-Vi0g9WcU,"{""text"":""men have billions""}",
UgwvwGMgoDbzywUA8OR4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T15:32:38.804936+00:00,0,,,w5qvMdoxGnc,"{""text"":""This is actually way better than shrek 5""}",
UgyDIAjEdCIlTG0acjd4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T15:10:25.357623+00:00,0,,,3bQkzxJS1DQ,"{""text"":""Imagine A discord mod becoming president and renames \""citizens\"" with \""discord kittens\""""}",
UgzuBHqdfw9BEbbNqPZ4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T14:50:34.470627+00:00,0,,,QY1sO1Pn59o,"{""text"":""1:29"",""videoLink"":{""externalVideoId"":""QY1sO1Pn59o"",""startTimeSeconds"":89}},{""text"":"" ahh sht...""}",
Ugw24t7A_irhmncuGt54AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T11:14:24.461723+00:00,0,,,8B1EtVPBSMw,"{""text"":""Tbh the memes made me accept what we can't change""}",
UgygGmAx5-5zQDgsH3J4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T11:03:48.109935+00:00,0,,,Ieq1OXqH0w8,"{""text"":""This better be getting the sonic treatment""}",
Ugwl1yoXuiCnQ8SAX154AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T07:17:54.465971+00:00,0,,,MN0FVQbBRvQ,"{""text"":""0:23"",""videoLink"":{""externalVideoId"":""MN0FVQbBRvQ"",""startTimeSeconds"":23}},{""text"":"" her body proportions is off""}",
